,log_fans,title_len,body_len,content_len,tag_count,exclamation_count,question_count,emoji_count,emotion_positive,emotion_extremity,title_body_overlap,weekday,has_location
log_fans,1.0,0.10120556320672437,-0.18344390701581267,-0.16447658664957512,0.07407214791036092,0.037302558666297704,-0.06718594445139298,0.04703019687086008,0.04910660904462636,-0.006889969035747287,-0.07565329928309862,-0.024472429213194726,-0.19480517895240948
title_len,0.10120556320672437,1.0,0.21919793961469022,0.4184264952948001,0.33395239156600365,0.26990986846662635,0.07630129893153338,0.18915754042534555,0.11550673277021732,0.11171707456481916,0.2089083461726732,-0.014241754735948828,0.0854439426776446
body_len,-0.18344390701581267,0.21919793961469022,1.0,0.9632524217692905,0.25310775827843873,0.37451650961226035,0.19914810208083786,0.3055099606489124,0.21901221217675224,0.26397057697564996,0.14432540971689004,-0.012124800886104497,0.060050129781708164
content_len,-0.16447658664957512,0.4184264952948001,0.9632524217692905,1.0,0.3054412676139128,0.40083552477810935,0.20414517031365778,0.3141080749506986,0.22780331455325828,0.27221848577018515,0.1790089332513304,-0.012546446308136882,0.08264691789740822
tag_count,0.07407214791036092,0.33395239156600365,0.25310775827843873,0.3054412676139128,1.0,0.2264984688238005,0.018607892394652582,0.24654025692200007,0.16772859737020795,0.14906790436616502,-0.0659519440299547,-0.022655133377517237,0.058433841143280055
exclamation_count,0.037302558666297704,0.26990986846662635,0.37451650961226035,0.40083552477810935,0.2264984688238005,1.0,0.07971856987446808,0.15654510916620024,0.1593196328950401,0.19921243877512232,-0.00234163106958405,-0.02502173472156501,0.10675354187327368
question_count,-0.06718594445139298,0.07630129893153338,0.19914810208083786,0.20414517031365778,0.018607892394652582,0.07971856987446808,1.0,-0.0006299879917328848,-0.17049374083460914,-0.10706910372478602,0.04740936076656524,-0.0014429965949259277,0.019976785296522543
emoji_count,0.04703019687086008,0.18915754042534555,0.3055099606489124,0.3141080749506986,0.24654025692200007,0.15654510916620024,-0.0006299879917328848,1.0,0.05845728824519616,0.0267457153008231,-0.010412759279000315,-0.0068953305076584525,0.013993553990195513
emotion_positive,0.04910660904462636,0.11550673277021732,0.21901221217675224,0.22780331455325828,0.16772859737020795,0.1593196328950401,-0.17049374083460914,0.05845728824519616,1.0,0.882556197643276,-0.005207212691258638,-0.0006998501546691062,0.022323917364678276
emotion_extremity,-0.006889969035747287,0.11171707456481916,0.26397057697564996,0.27221848577018515,0.14906790436616502,0.19921243877512232,-0.10706910372478602,0.0267457153008231,0.882556197643276,1.0,-0.0059163142199503745,-0.0020262398929753785,0.03849548163121513
title_body_overlap,-0.07565329928309862,0.2089083461726732,0.14432540971689004,0.1790089332513304,-0.0659519440299547,-0.00234163106958405,0.04740936076656524,-0.010412759279000315,-0.005207212691258638,-0.0059163142199503745,1.0,0.01037603990680039,0.042969063824872686
weekday,-0.024472429213194726,-0.014241754735948828,-0.012124800886104497,-0.012546446308136882,-0.022655133377517237,-0.02502173472156501,-0.0014429965949259277,-0.0068953305076584525,-0.0006998501546691062,-0.0020262398929753785,0.01037603990680039,1.0,-0.0155278083792273
has_location,-0.19480517895240948,0.0854439426776446,0.060050129781708164,0.08264691789740822,0.058433841143280055,0.10675354187327368,0.019976785296522543,0.013993553990195513,0.022323917364678276,0.03849548163121513,0.042969063824872686,-0.0155278083792273,1.0
