x_mean,y_mean,n
0.03850089694287299,6.164390184251304,9015
0.10067038030286223,6.116339626094382,9014
0.15512387095407143,6.06207615409279,9014
0.20390045566563123,6.037455586179155,9014
0.251413922449523,5.980337049721781,9014
0.2969172691224762,5.9426994442397225,9014
0.33916447807056477,5.920623065938588,9013
0.3744157136698835,5.882534593493868,9015
0.40204895428023074,5.787663722897283,9014
0.42159773416729535,5.751290027314498,9014
0.4370244169118039,5.81457013989913,9014
0.4506786961905924,5.654089116401326,9014
0.4628208434795873,5.75511486775414,9014
0.47225415623263817,5.697202030536664,9014
0.47936365406201464,5.730185474202966,9014
0.48617937109901266,5.687058258577673,9014
0.4883488013485134,5.7125944757892055,9014
0.4897121225893056,5.743221952251496,9014
0.49142307684193015,5.6585550921819525,9015
0.4934174172794963,5.600259282654167,9013
